Feature,Importance
Sleep_Hours,0.4151178761204139
Study_Hours_per_Day,0.30233507019148553
Stress_Level_1_to_10,0.10062412328628573
Screen_Time_Hours,0.04385101162688031
Attendance_Percentage,0.04029581882551288
Gym_Hours_per_Week,0.03914442160527208
Age,0.023242521610153798
Branch_Electrical,0.007339254654836249
Diet_Type_Veg,0.006720043376064126
Residence_Hosteller,0.0055217114879252014
Branch_ECE,0.004372802382336489
Branch_IT,0.004320434222317265
Branch_Mechanical,0.004157446889931385
Branch_Civil,0.002957463720585075
